family,seed,generation,defect_type,rate_before,rate_after,delta_after_minus_before
dbr_confirmatory_211_213,211,0,incorrect_answer,0.64,0.6326530612244898,-0.007346938775510181
dbr_confirmatory_211_213,211,0,low_reasoning,0.48,0.46938775510204084,-0.010612244897959144
dbr_confirmatory_211_213,211,0,low_structure,0.26,0.24489795918367346,-0.015102040816326545
dbr_confirmatory_211_213,211,0,parse_failure,0.02,0.0,-0.02
dbr_confirmatory_211_213,211,0,silent_error,0.28,0.2857142857142857,0.005714285714285672
dbr_confirmatory_211_213,211,1,incorrect_answer,0.58,0.5714285714285714,-0.008571428571428563
dbr_confirmatory_211_213,211,1,low_reasoning,0.46,0.4489795918367347,-0.011020408163265327
dbr_confirmatory_211_213,211,1,low_structure,0.36,0.3469387755102041,-0.013061224489795908
dbr_confirmatory_211_213,211,1,parse_failure,0.02,0.0,-0.02
dbr_confirmatory_211_213,211,1,silent_error,0.16,0.14285714285714285,-0.017142857142857154
dbr_confirmatory_211_213,211,2,incorrect_answer,0.54,0.5306122448979592,-0.009387755102040818
dbr_confirmatory_211_213,211,2,low_reasoning,0.52,0.5306122448979592,0.0106122448979592
dbr_confirmatory_211_213,211,2,low_structure,0.32,0.32653061224489793,0.0065306122448979265
dbr_confirmatory_211_213,211,2,parse_failure,0.02,0.0,-0.02
dbr_confirmatory_211_213,211,2,silent_error,0.28,0.2857142857142857,0.005714285714285672
dbr_confirmatory_211_213,212,0,incorrect_answer,0.68,0.673469387755102,-0.0065306122448980375
dbr_confirmatory_211_213,212,0,low_reasoning,0.5,0.4897959183673469,-0.010204081632653073
dbr_confirmatory_211_213,212,0,low_structure,0.38,0.3673469387755102,-0.012653061224489781
dbr_confirmatory_211_213,212,0,parse_failure,0.02,0.0,-0.02
dbr_confirmatory_211_213,212,0,silent_error,0.28,0.2653061224489796,-0.014693877551020418
dbr_confirmatory_211_213,212,1,incorrect_answer,0.58,0.5714285714285714,-0.008571428571428563
dbr_confirmatory_211_213,212,1,low_reasoning,0.48,0.46938775510204084,-0.010612244897959144
dbr_confirmatory_211_213,212,1,low_structure,0.34,0.32653061224489793,-0.013469387755102091
dbr_confirmatory_211_213,212,1,parse_failure,0.02,0.0,-0.02
dbr_confirmatory_211_213,212,1,silent_error,0.32,0.32653061224489793,0.0065306122448979265
dbr_confirmatory_211_213,212,2,incorrect_answer,0.6,0.5918367346938775,-0.008163265306122436
dbr_confirmatory_211_213,212,2,low_reasoning,0.48,0.46938775510204084,-0.010612244897959144
dbr_confirmatory_211_213,212,2,low_structure,0.4,0.3877551020408163,-0.01224489795918371
dbr_confirmatory_211_213,212,2,parse_failure,0.02,0.0,-0.02
dbr_confirmatory_211_213,212,2,silent_error,0.22,0.22448979591836735,0.004489795918367345
dbr_confirmatory_211_213,213,0,incorrect_answer,0.52,0.5102040816326531,-0.009795918367346945
dbr_confirmatory_211_213,213,0,low_reasoning,0.4,0.3877551020408163,-0.01224489795918371
dbr_confirmatory_211_213,213,0,low_structure,0.28,0.2653061224489796,-0.014693877551020418
dbr_confirmatory_211_213,213,0,parse_failure,0.02,0.0,-0.02
dbr_confirmatory_211_213,213,0,silent_error,0.24,0.22448979591836735,-0.015510204081632645
dbr_confirmatory_211_213,213,1,incorrect_answer,0.52,0.5,-0.020000000000000018
dbr_confirmatory_211_213,213,1,low_reasoning,0.48,0.4583333333333333,-0.021666666666666667
dbr_confirmatory_211_213,213,1,low_structure,0.3,0.2708333333333333,-0.029166666666666674
dbr_confirmatory_211_213,213,1,parse_failure,0.04,0.0,-0.04
dbr_confirmatory_211_213,213,1,silent_error,0.26,0.25,-0.010000000000000009
dbr_confirmatory_211_213,213,2,incorrect_answer,0.42,0.3958333333333333,-0.02416666666666667
dbr_confirmatory_211_213,213,2,low_reasoning,0.4,0.375,-0.025000000000000022
dbr_confirmatory_211_213,213,2,low_structure,0.3,0.2708333333333333,-0.029166666666666674
dbr_confirmatory_211_213,213,2,parse_failure,0.04,0.0,-0.04
dbr_confirmatory_211_213,213,2,silent_error,0.18,0.1875,0.007500000000000007
dbr_only_221_223,221,0,incorrect_answer,0.57,0.5567010309278351,-0.013298969072164879
dbr_only_221_223,221,0,low_reasoning,0.48,0.4742268041237113,-0.0057731958762886615
dbr_only_221_223,221,0,low_structure,0.38,0.38144329896907214,0.0014432989690721376
dbr_only_221_223,221,0,parse_failure,0.03,0.0,-0.03
dbr_only_221_223,221,0,silent_error,0.18,0.17525773195876287,-0.004742268041237119
dbr_only_221_223,221,1,incorrect_answer,0.55,0.53125,-0.018750000000000044
dbr_only_221_223,221,1,low_reasoning,0.45,0.4375,-0.012500000000000011
dbr_only_221_223,221,1,low_structure,0.35,0.3333333333333333,-0.016666666666666663
dbr_only_221_223,221,1,parse_failure,0.04,0.0,-0.04
dbr_only_221_223,221,1,silent_error,0.26,0.25,-0.010000000000000009
dbr_only_221_223,221,2,incorrect_answer,0.53,0.5154639175257731,-0.014536082474226886
dbr_only_221_223,221,2,low_reasoning,0.44,0.422680412371134,-0.017319587628865984
dbr_only_221_223,221,2,low_structure,0.36,0.35051546391752575,-0.009484536082474238
dbr_only_221_223,221,2,parse_failure,0.03,0.0,-0.03
dbr_only_221_223,221,2,silent_error,0.26,0.23711340206185566,-0.02288659793814435
dbr_only_221_223,222,0,incorrect_answer,0.65,0.6391752577319587,-0.01082474226804131
dbr_only_221_223,222,0,low_reasoning,0.5,0.4845360824742268,-0.015463917525773196
dbr_only_221_223,222,0,low_structure,0.37,0.35051546391752575,-0.019484536082474246
dbr_only_221_223,222,0,parse_failure,0.03,0.0,-0.03
dbr_only_221_223,222,0,silent_error,0.27,0.24742268041237114,-0.022577319587628875
dbr_only_221_223,222,1,incorrect_answer,0.64,0.6363636363636364,-0.0036363636363636598
dbr_only_221_223,222,1,low_reasoning,0.48,0.47474747474747475,-0.005252525252525231
dbr_only_221_223,222,1,low_structure,0.38,0.37373737373737376,-0.0062626262626262474
dbr_only_221_223,222,1,parse_failure,0.01,0.0,-0.01
dbr_only_221_223,222,1,silent_error,0.22,0.21212121212121213,-0.007878787878787874
dbr_only_221_223,222,2,incorrect_answer,0.63,0.6224489795918368,-0.007551020408163245
dbr_only_221_223,222,2,low_reasoning,0.55,0.5510204081632653,0.0010204081632652073
dbr_only_221_223,222,2,low_structure,0.41,0.40816326530612246,-0.0018367346938775175
dbr_only_221_223,222,2,parse_failure,0.02,0.0,-0.02
dbr_only_221_223,222,2,silent_error,0.24,0.24489795918367346,0.004897959183673473
dbr_only_221_223,223,0,incorrect_answer,0.6,0.574468085106383,-0.025531914893616947
dbr_only_221_223,223,0,low_reasoning,0.48,0.46808510638297873,-0.01191489361702125
dbr_only_221_223,223,0,low_structure,0.37,0.3723404255319149,0.0023404255319148803
dbr_only_221_223,223,0,parse_failure,0.06,0.0,-0.06
dbr_only_221_223,223,0,silent_error,0.28,0.26595744680851063,-0.014042553191489393
dbr_only_221_223,223,1,incorrect_answer,0.57,0.5567010309278351,-0.013298969072164879
dbr_only_221_223,223,1,low_reasoning,0.44,0.4536082474226804,0.013608247422680408
dbr_only_221_223,223,1,low_structure,0.3,0.30927835051546393,0.00927835051546394
dbr_only_221_223,223,1,parse_failure,0.03,0.0,-0.03
dbr_only_221_223,223,1,silent_error,0.21,0.21649484536082475,0.006494845360824758
dbr_only_221_223,223,2,incorrect_answer,0.52,0.48936170212765956,-0.03063829787234046
dbr_only_221_223,223,2,low_reasoning,0.44,0.425531914893617,-0.014468085106382977
dbr_only_221_223,223,2,low_structure,0.34,0.3191489361702128,-0.020851063829787242
dbr_only_221_223,223,2,parse_failure,0.06,0.0,-0.06
dbr_only_221_223,223,2,silent_error,0.27,0.26595744680851063,-0.004042553191489384
