run_id,seed,generation,defect_name,rate_before,rate_after,delta_after_minus_before
dbr_confirmatory_seed211_20260428_222918,211,0,incorrect_answer,0.64,0.6326530612244898,-0.007346938775510181
dbr_confirmatory_seed211_20260428_222918,211,0,low_reasoning,0.48,0.46938775510204084,-0.010612244897959144
dbr_confirmatory_seed211_20260428_222918,211,0,low_structure,0.26,0.24489795918367346,-0.015102040816326545
dbr_confirmatory_seed211_20260428_222918,211,0,parse_failure,0.02,0.0,-0.02
dbr_confirmatory_seed211_20260428_222918,211,0,silent_error,0.28,0.2857142857142857,0.005714285714285672
dbr_confirmatory_seed211_20260428_222918,211,1,incorrect_answer,0.58,0.5714285714285714,-0.008571428571428563
dbr_confirmatory_seed211_20260428_222918,211,1,low_reasoning,0.46,0.4489795918367347,-0.011020408163265327
dbr_confirmatory_seed211_20260428_222918,211,1,low_structure,0.36,0.3469387755102041,-0.013061224489795908
dbr_confirmatory_seed211_20260428_222918,211,1,parse_failure,0.02,0.0,-0.02
dbr_confirmatory_seed211_20260428_222918,211,1,silent_error,0.16,0.14285714285714285,-0.017142857142857154
dbr_confirmatory_seed211_20260428_222918,211,2,incorrect_answer,0.54,0.5306122448979592,-0.009387755102040818
dbr_confirmatory_seed211_20260428_222918,211,2,low_reasoning,0.52,0.5306122448979592,0.0106122448979592
dbr_confirmatory_seed211_20260428_222918,211,2,low_structure,0.32,0.32653061224489793,0.0065306122448979265
dbr_confirmatory_seed211_20260428_222918,211,2,parse_failure,0.02,0.0,-0.02
dbr_confirmatory_seed211_20260428_222918,211,2,silent_error,0.28,0.2857142857142857,0.005714285714285672
dbr_confirmatory_seed212_20260428_230709,212,0,incorrect_answer,0.68,0.673469387755102,-0.0065306122448980375
dbr_confirmatory_seed212_20260428_230709,212,0,low_reasoning,0.5,0.4897959183673469,-0.010204081632653073
dbr_confirmatory_seed212_20260428_230709,212,0,low_structure,0.38,0.3673469387755102,-0.012653061224489781
dbr_confirmatory_seed212_20260428_230709,212,0,parse_failure,0.02,0.0,-0.02
dbr_confirmatory_seed212_20260428_230709,212,0,silent_error,0.28,0.2653061224489796,-0.014693877551020418
dbr_confirmatory_seed212_20260428_230709,212,1,incorrect_answer,0.58,0.5714285714285714,-0.008571428571428563
dbr_confirmatory_seed212_20260428_230709,212,1,low_reasoning,0.48,0.46938775510204084,-0.010612244897959144
dbr_confirmatory_seed212_20260428_230709,212,1,low_structure,0.34,0.32653061224489793,-0.013469387755102091
dbr_confirmatory_seed212_20260428_230709,212,1,parse_failure,0.02,0.0,-0.02
dbr_confirmatory_seed212_20260428_230709,212,1,silent_error,0.32,0.32653061224489793,0.0065306122448979265
dbr_confirmatory_seed212_20260428_230709,212,2,incorrect_answer,0.6,0.5918367346938775,-0.008163265306122436
dbr_confirmatory_seed212_20260428_230709,212,2,low_reasoning,0.48,0.46938775510204084,-0.010612244897959144
dbr_confirmatory_seed212_20260428_230709,212,2,low_structure,0.4,0.3877551020408163,-0.01224489795918371
dbr_confirmatory_seed212_20260428_230709,212,2,parse_failure,0.02,0.0,-0.02
dbr_confirmatory_seed212_20260428_230709,212,2,silent_error,0.22,0.22448979591836735,0.004489795918367345
dbr_confirmatory_seed213_20260430_115105,213,0,incorrect_answer,0.52,0.5102040816326531,-0.009795918367346945
dbr_confirmatory_seed213_20260430_115105,213,0,low_reasoning,0.4,0.3877551020408163,-0.01224489795918371
dbr_confirmatory_seed213_20260430_115105,213,0,low_structure,0.28,0.2653061224489796,-0.014693877551020418
dbr_confirmatory_seed213_20260430_115105,213,0,parse_failure,0.02,0.0,-0.02
dbr_confirmatory_seed213_20260430_115105,213,0,silent_error,0.24,0.22448979591836735,-0.015510204081632645
dbr_confirmatory_seed213_20260430_115105,213,1,incorrect_answer,0.52,0.5,-0.020000000000000018
dbr_confirmatory_seed213_20260430_115105,213,1,low_reasoning,0.48,0.4583333333333333,-0.021666666666666667
dbr_confirmatory_seed213_20260430_115105,213,1,low_structure,0.3,0.2708333333333333,-0.029166666666666674
dbr_confirmatory_seed213_20260430_115105,213,1,parse_failure,0.04,0.0,-0.04
dbr_confirmatory_seed213_20260430_115105,213,1,silent_error,0.26,0.25,-0.010000000000000009
dbr_confirmatory_seed213_20260430_115105,213,2,incorrect_answer,0.42,0.3958333333333333,-0.02416666666666667
dbr_confirmatory_seed213_20260430_115105,213,2,low_reasoning,0.4,0.375,-0.025000000000000022
dbr_confirmatory_seed213_20260430_115105,213,2,low_structure,0.3,0.2708333333333333,-0.029166666666666674
dbr_confirmatory_seed213_20260430_115105,213,2,parse_failure,0.04,0.0,-0.04
dbr_confirmatory_seed213_20260430_115105,213,2,silent_error,0.18,0.1875,0.007500000000000007
