generation,metric,mean,std,ci95_low,ci95_high,n_seeds
0,accuracy_mean,0.38000000000000006,0.08717797887081345,0.2813488300457956,0.47865116995420454,3
1,accuracy_mean,0.39999999999999997,0.08717797887081348,0.3013488300457955,0.49865116995420444,3
2,accuracy_mean,0.4175,0.1037725879025863,0.30007026214227783,0.5349297378577221,3
0,defect_severity_mean,3.986666666666667,0.3629508690350988,3.575949094064222,4.397384239269112,3
1,defect_severity_mean,3.7866666666666666,0.6697263122599657,3.0288000000000004,4.544533333333333,3
2,defect_severity_mean,3.7852777777777775,0.32444860632794864,3.418129616982563,4.152425938572992,3
0,low_reasoning_rate,0.52,0.0529150262212918,0.46012101091924373,0.5798789890807563,3
1,low_reasoning_rate,0.5066666666666667,0.1026320287889377,0.39052759294707634,0.6228057403862571,3
2,low_reasoning_rate,0.48694444444444446,0.057977086789460154,0.42133719458158325,0.5525516943073057,3
0,low_structure_rate,0.39999999999999997,0.04000000000000001,0.3547357388955333,0.44526426110446665,3
1,low_structure_rate,0.3466666666666667,0.06110100926607786,0.27752436573751205,0.4158089675958213,3
2,low_structure_rate,0.3508333333333334,0.044744645862196,0.3002,0.40146666666666675,3
0,parse_failure_pred_rate,0.04666666666666667,0.02309401076758503,0.020533333333333334,0.0728,3
1,parse_failure_pred_rate,0.04,0.02,0.01736786944776667,0.06263213055223334,3
2,parse_failure_pred_rate,0.03361111111111111,0.022857246196856338,0.007745702111521542,0.05947652011070068,3
0,pedagogical_score_mean,4.54,0.243310501211929,4.264668248592115,4.815331751407885,3
1,pedagogical_score_mean,4.866666666666667,0.5913825608972028,4.197454300439689,5.535879032893646,3
2,pedagogical_score_mean,4.887222222222222,0.35607557458328226,4.484284777700705,5.290159666743739,3
0,silent_error_rate,0.28,0.034641016151377546,0.24080000000000001,0.31920000000000004,3
1,silent_error_rate,0.26666666666666666,0.08326663997864531,0.17244159333454107,0.36089173999879226,3
2,silent_error_rate,0.2902777777777778,0.01683938285136409,0.27122222222222225,0.30933333333333335,3
